URL,Latencia,BL,Type,Answer,Location
http://www.ontrak.net/,0.00024,0,1,TRUE,Local
http://www.ontrak.net/,0.00063,5,1,TRUE,Local
http://www.ontrak.net/,0.00022,10,1,TRUE,Local
http://www.captainvans.com/,0.00059,0,1,TRUE,Local
http://www.captainvans.com/,0.00073,5,1,TRUE,Local
http://www.captainvans.com/,0.0005,10,1,TRUE,Local
http://5.206.227.148/log017/log017.arc,0.00053,0,0,FALSE,Local
http://5.206.227.148/log017/log017.arc,0.0007,5,0,FALSE,Local
http://5.206.227.148/log017/log017.arc,0.00076,10,0,TRUE,Local
http://www.compotite.com/,0.00059,0,1,TRUE,Local
http://www.compotite.com/,0.00074,5,1,TRUE,Local
http://www.compotite.com/,0.00048,10,1,TRUE,Local
http://sourceforge.net/projects/jtextcheck/,0.00122,0,1,TRUE,Local
http://sourceforge.net/projects/jtextcheck/,0.00073,5,1,TRUE,Local
http://sourceforge.net/projects/jtextcheck/,0.00041,10,1,TRUE,Local
http://patrickpoon.com,0.08256,0,1,TRUE,Local
http://patrickpoon.com,0.00112,5,1,TRUE,Local
http://patrickpoon.com,0.00038,10,1,TRUE,Local
http://www.folkloric.org,0.07153,0,1,TRUE,Local
http://www.folkloric.org,0.0009,5,1,TRUE,Local
http://www.folkloric.org,0.00039,10,1,TRUE,Local
http://www.grushkin.com/,0.00053,0,1,TRUE,Local
http://www.grushkin.com/,0.00038,5,1,TRUE,Local
http://www.grushkin.com/,0.00039,10,1,TRUE,Local
http://groups.yahoo.com/group/charmcitycoven/,0.00034,0,1,TRUE,Local
http://groups.yahoo.com/group/charmcitycoven/,0.00025,5,1,TRUE,Local
http://groups.yahoo.com/group/charmcitycoven/,0.00051,10,1,TRUE,Local
http://115.49.76.77:37551/bin.sh,0.00025,0,0,FALSE,Local
http://115.49.76.77:37551/bin.sh,0.00032,5,0,FALSE,Local
http://115.49.76.77:37551/bin.sh,0.00008,10,0,TRUE,Local
http://103.178.229.177/skyljne.arm,0.00052,0,0,FALSE,Local
http://103.178.229.177/skyljne.arm,0.00056,5,0,FALSE,Local
http://103.178.229.177/skyljne.arm,0.00006,10,0,TRUE,Local
http://democrats.reform.house.gov/investigations.asp?issue=tobacco,0.00058,0,1,TRUE,Local
http://democrats.reform.house.gov/investigations.asp?issue=tobacco,0.0002,5,1,TRUE,Local
http://democrats.reform.house.gov/investigations.asp?issue=tobacco,0.00063,10,1,TRUE,Local
